776408,776408,776409,776409,none,
776008,776008,776009,776009,none,
728408,728408,728409,728409,none,
728008,728008,728009,728009,none,
763088,763088,763089,763089,none,
762688,762688,762689,762689,none,
715088,715088,715089,715089,none,
714688,714688,714689,714689,none,
772208,772208,772209,772209,none,
771808,771808,771809,771809,none,
721808,721808,721809,721809,none,
721408,721408,721409,721409,none,
723008,723008,723009,723009,none,
722608,722608,722609,722609,none,
711488,711488,711489,711489,none,
711088,711088,711089,711089,none,
482408,482408,482409,482409,none,
482008,482008,482009,482009,none,
434408,434408,434409,434409,none,
434008,434008,434009,434009,none,
479288,479288,479289,479289,none,
478888,478888,478889,478889,none,
431288,431288,431289,431289,none,
430888,430888,430889,430889,none,
478808,478808,478809,478809,none,
478408,478408,478409,478409,none,
427808,427808,427809,427809,none,
427408,427408,427409,427409,none,
475088,475088,475089,475089,none,
474688,474688,474689,474689,none,
425168,425168,425169,425169,none,
420688,420688,420689,420689,none,
776033,776033,776034,776034,none,
775633,775633,775634,775634,none,
728033,728033,728034,728034,none,
727633,727633,727634,727634,none,
762713,762713,762714,762714,none,
762313,762313,762314,762314,none,
714713,714713,714714,714714,none,
714313,714313,714314,714314,none,
771833,771833,771834,771834,none,
771433,771433,771434,771434,none,
721433,721433,721434,721434,none,
721033,721033,721034,721034,none,
722633,722633,722634,722634,none,
722233,722233,722234,722234,none,
711113,711113,711114,711114,none,
710713,710713,710714,710714,none,
482033,482033,482034,482034,none,
481633,481633,481634,481634,none,
434033,434033,434034,434034,none,
433633,433633,433634,433634,none,
478913,478913,478914,478914,none,
478513,478513,478514,478514,none,
430913,430913,430914,430914,none,
430513,430513,430514,430514,none,
478433,478433,478434,478434,none,
478033,478033,478034,478034,none,
427433,427433,427434,427434,none,
427033,427033,427034,427034,none,
474713,474713,474714,474714,none,
474313,474313,474314,474314,none,
424793,424793,424794,424794,none,
420313,420313,420314,420314,none,
776374,776374,776375,776375,none,
775974,775974,775975,775975,none,
728374,728374,728375,728375,none,
727974,727974,727975,727975,none,
763054,763054,763055,763055,none,
762654,762654,762655,762655,none,
715054,715054,715055,715055,none,
714654,714654,714655,714655,none,
772174,772174,772175,772175,none,
771774,771774,771775,771775,none,
721774,721774,721775,721775,none,
721374,721374,721375,721375,none,
722974,722974,722975,722975,none,
722574,722574,722575,722575,none,
711454,711454,711455,711455,none,
711054,711054,711055,711055,none,
482374,482374,482375,482375,none,
481974,481974,481975,481975,none,
434374,434374,434375,434375,none,
433974,433974,433975,433975,none,
479254,479254,479255,479255,none,
478854,478854,478855,478855,none,
431254,431254,431255,431255,none,
430854,430854,430855,430855,none,
478774,478774,478775,478775,none,
478374,478374,478375,478375,none,
427774,427774,427775,427775,none,
427374,427374,427375,427375,none,
475054,475054,475055,475055,none,
474654,474654,474655,474655,none,
425134,425134,425135,425135,none,
420654,420654,420655,420655,none,
775999,775999,776000,776000,none,
775599,775599,775600,775600,none,
727999,727999,728000,728000,none,
727599,727599,727600,727600,none,
762679,762679,762680,762680,none,
762279,762279,762280,762280,none,
714679,714679,714680,714680,none,
714279,714279,714280,714280,none,
771799,771799,771800,771800,none,
771399,771399,771400,771400,none,
721399,721399,721400,721400,none,
720999,720999,721000,721000,none,
722599,722599,722600,722600,none,
722199,722199,722200,722200,none,
711079,711079,711080,711080,none,
710679,710679,710680,710680,none,
481999,481999,482000,482000,none,
481599,481599,481600,481600,none,
433999,433999,434000,434000,none,
433599,433599,433600,433600,none,
478879,478879,478880,478880,none,
478479,478479,478480,478480,none,
430879,430879,430880,430880,none,
430479,430479,430480,430480,none,
478399,478399,478400,478400,none,
477999,477999,478000,478000,none,
427399,427399,427400,427400,none,
426999,426999,427000,427000,none,
474679,474679,474680,474680,none,
474279,474279,474280,474280,none,
424759,424759,424760,424760,none,
420279,420279,420280,420280,none,
